TimeSinceStart,PosX,PosY,PosZ,RotX,RotY,RotZ,CurrentSpeed,SteeringAngle,PedalInput
0,1,0,0,0,0,0,0,0,0
0.1630926,1,0,0,0,0,0,0,0,0
0.2009954,1,0,0,0,0,0,0,0,0
0.3644905,1,0,0,0,0,0,0,0,0
0.4028797,1,0,0,0,0,0,0,0,0
0.5659513,1,0,0,0,0,0,0,0,0
0.6043166,1,0,0,0,0,0,0,0,0
0.7673172,1,0,0,0,0,0,0,0,0
0.8055526,1,0,0,0,0,0,0,0,0
0.9679435,1,0,0,0,0,0,0,0,0
1.007059,1,0,0,0,0,0,0,0,0
1.170179,1,0,0,0,0,0,0,0,0
1.209105,1,0,0,0,0,0,0,0,0
1.372727,1,0,0,0,0,0,0,0,0
1.410361,1,0,0,0,0,0,0,0,0
1.573282,1,0,0,0,0,0,0,0,0
1.611444,1,0,0,0,0,0,0,0,0
1.774972,1,0,0,0,0,0,0,0,0
1.812724,1,0,0,0,0,0,0,0,0
1.976197,1,0,0,0,0,0,0,0,0
2.014461,1,0,0,0,0,0,0,0,0
2.177401,1,0,0,0,0,0,0,0,0
2.216214,1,0,0,0,0,0,0,0,0
2.377635,1,0,0,0,0,0,0,0,0
2.416559,1,0,0,0,0,0,0,0,0
2.578077,1,0,0,0,0,0,0,0,0
2.619222,1,0,0,0,0,0,0,0,0
2.778505,1,0,0,0,0,0,0,0,0
2.821576,1,0,0,0,0,0,0,0,0
2.979853,1,0,0,0,0,0,0,0,0
3.023189,1,0,0,0,0,0,0,0,0
3.182573,1,0,0,0,0,0,0,0,0
3.226033,1,0,0,0,0,0,0,0,0
3.383734,1,0,0,0,0,0,0,0,0
3.427422,1,0,0,0,0,0,0,0,0
3.584841,1,0,0,0,0,0,0,0,0
3.628333,1,0,0,0,0,0,0,0,0
3.7876,1,0,0,0,0,0,0,0,0
3.831087,1,0,0,0,0,0,0,0,0
3.99081,1,0,0,0,0,0,0,0,0
4.034317,1,0,0,0,0,0,0,0,0
4.192409,1,0,0,0,0,0,0,0,0
4.23564,1,0,0,0,0,0,0,0,0
4.394984,1,0,0,0,0,0,0,0,0
4.443141,1,0,0,0,0,0,0,0,0
4.596169,1,0,0,0,0,0,0,0,0
4.646241,1,0,0,0,0,0,0,0,0
4.799077,1,0,0,0,0,0,0,0,0
4.846463,1,0,0,0,0,0,0,0,0
5.00157,1,0,0,0,0,0,0,0,0
5.0488,1,0,0,0,0,0,0,0,0
5.204186,1,0,0,0,0,0,0,0,0
5.251958,1,0,0,0,0,0,0,0,0
5.405894,1,0,0,0,0,0,0,0,0
5.45373,1,0,0,0,0,0,0,0,0
5.608048,1,0,0,0,0,0,0,0,0
5.65696,1,0,0,0,0,0,0,0,0
5.809228,1,0,0,0,0,0,0,0,0
5.860895,1,0,0,0,0,0,0,0,0
6.009288,1,0,0,0,0,0,0,0,0
6.062851,1,0,0,0,0,0,0,0,0
6.211003,1,0,0,0,0,0,0,0,0
6.263857,1,0,0,0,0,0,0,0,0
6.412971,1,0,0.032,0,0,0,0,0,0
6.466912,1,0,0.089,0,0,0,0,0,0
6.615512,1,0,0.187,0,0,0,0,0,0
6.66736,1,0,0.237,0,0,0,0,0,0
6.816621,1,0,0.419,0,0,0,0,0,0
6.869315,1,0,0.419,0,0,0,0,0,0
7.018897,1,0,-0.054,0,0,0,0,0,0
7.070935,1,0,-0.191,0,0,0,0,0,0
7.221734,1,0,-0.503,0,0,0,0,0,0
7.274179,1,0,-0.612,0,0,0,0,0,0
7.421879,1,0,-0.646,0,0,0,0,0,0
7.475104,1,0,-0.261,0,0,0,0,0,0
7.623676,1,0,0.414,0,0,0,0,0,0
7.67627,1,0,0.5,0,0,0,0,0,0
7.825689,1,0,0.652,0,0,0,0,0,0
7.878956,1,0,0.611,0,0,0,0,0,0
8.027022,1,0,-0.269,0,0,0,0,0,0
8.079003,1,0,-0.493,0,0,0,0,0,0
8.227538,1,0,-0.692,0,0,0,0,0,0
8.283682,1,0,-0.514,0,0,0,0,0,0
8.429409,1,0,0.075,0,0,0,0,0,0
8.487138,1,0,0.075,0,0,0,0,0,0
8.633284,1,0,0.075,0,0,0,0,0,0
8.689856,1,0,0.075,0,0,0,0,0,0
8.833586,1,0,0.075,0,0,0,0,0,0
8.89194,1,0,0.075,0,0,0,0,0,0
9.036352,1,0,0.075,0,0,0,0,0,0
9.09231,1,0,0.075,0,0,0,0,0,0
9.236448,1,0,0.075,0,0,0,0,0,0
9.293446,1,0,0.075,0,0,0,0,0,0
9.437064,1,0,0.075,0,0,0,0,0,0
9.493908,1,0,0.075,0,0,0,0,0,0
9.638973,1,0,0.075,0,0,0,0,0,0
9.696508,1,0,0.075,0,0,0,0,0,0
9.840534,1,0,0.075,0,0,0,0,0,0
9.896712,1,0,0.075,0,0,0,0,0,0
10.04339,1,0,0.075,0,0,0,0,0,0
10.09928,1,0,0.075,0,0,0,0,0,0
10.24362,1,0,0.075,0,0,0,0,0,0
10.30135,1,0,0.075,0,0,0,0,0,0
10.44628,1,0,0.075,0,0,0,0,0,0
10.50392,1,0,0.075,0,0,0,0,0,0
10.647,1,0,0.075,0,0,0,0,0,0
10.70707,1,0,0.075,0,0,0,0,0,0
10.85006,1,0,0.075,0,0,0,0,0,0
10.90993,1,0,0.075,0,0,0,0,0,0
11.05204,1,0,0.075,0,0,0,0,0,0
11.11176,1,0,0.075,0,0,0,0,0,0
11.25425,1,0,0.075,0,0,0,0,0,0
11.31488,1,0,0.075,0,0,0,0,0,0
11.45486,1,0,0.075,0,0,0,0,0,0
11.51747,1,0,0.075,0,0,0,0,0,0
11.65812,1,0,0.075,0,0,0,0,0,0
11.72116,1,0,0.075,0,0,0,0,0,0
11.8616,1,0,0.075,0,0,0,0,0,0
11.9222,1,0,0.075,0,0,0,0,0,0
12.06349,1,0,0.075,0,0,0,0,0,0
12.12272,1,0,0.075,0,0,0,0,0,0
12.26867,1,0,0.075,0,0,0,0,0,0
12.32728,1,0,0.075,0,0,0,0,0,0
12.46976,1,0,0.075,0,0,0,0,0,0
12.52801,1,0,0.075,0,0,0,0,0,0
12.67209,1,0,0.075,0,0,0,0,0,0
12.72982,1,0,0.075,0,0,0,0,0,0
12.87294,1,0,0.075,0,0,0,0,0,0
12.93052,1,0,0.075,0,0,0,0,0,0
13.07443,1,0,0.075,0,0,0,0,0,0
13.13153,1,0,0.075,0,0,0,0,0,0
13.2747,1,0,0.075,0,0,0,0,0,0
13.33431,1,0,0.075,0,0,0,0,0,0
13.47722,1,0,0.075,0,0,0,0,0,0
13.537,1,0,0.075,0,0,0,0,0,0
13.67755,1,0,0.075,0,0,0,0,0,0
13.73969,1,0,0.075,0,0,0,0,0,0
13.87935,1,0,0.075,0,0,0,0,0,0
13.9417,1,0,0.075,0,0,0,0,0,0
