TimeSinceStart,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ
0,0,0,0,0,0,0
0.1630926,0,0,0,0,0,0
0.2009954,0,0,0,0,0,0
0.3644905,0,0,0,0,0,0
0.4028797,0,0,0,0,0,0
0.5659513,0,0,0,0,0,0
0.6043166,0,0,0,0,0,0
0.7673172,0,0,0,0,0,0
0.8055526,0,0,0,0,0,0
0.9679435,0,0,0,0,0,0
1.007059,0,0,0,0,0,0
1.170179,0,0,0,0,0,0
1.209105,0,0,0,0,0,0
1.372727,0,0,0,0,0,0
1.410361,0,0,0,0,0,0
1.573282,0,0,0,0,0,0
1.611444,0,0,0,0,0,0
1.774972,0,0,0,0,0,0
1.812724,0,0,0,0,0,0
1.976197,0,0,0,0,0,0
2.014461,0,0,0,0,0,0
2.177401,0,0,0,0,0,0
2.216214,0,0,0,0,0,0
2.377635,0,0,0,0,0,0
2.416559,0,0,0,0,0,0
2.578077,0,0,0,0,0,0
2.619222,0,0,0,0,0,0
2.778505,0,0,0,0,0,0
2.821576,0,0,0,0,0,0
2.979853,0,0,0,0,0,0
3.023189,0,0,0,0,0,0
3.182573,0,0,0,0,0,0
3.226033,0,0,0,0,0,0
3.383734,0,0,0,0,0,0
3.427422,0,0,0,0,0,0
3.584841,0,0,0,0,0,0
3.628333,0,0,0,0,0,0
3.7876,0,0,0,0,0,0
3.831087,0,0,0,0,0,0
3.99081,0,0,0,0,0,0
4.034317,0,0,0,0,0,0
4.192409,0,0,0,0,0,0
4.23564,0,0,0,0,0,0
4.394984,0,0,0,0,0,0
4.443141,0,0,0,0,0,0
4.596169,0,0,0,0,0,0
4.646241,0,0,0,0,0,0
4.799077,0,0,0,0,0,0
4.846463,0,0,0,0,0,0
5.00157,0,0,0,0,0,0
5.0488,0,0,0,0,0,0
5.204186,0,0,0,0,0,0
5.251958,0,0,0,0,0,0
5.405894,0,0,0,0,0,0
5.45373,0,0,0,0,0,0
5.608048,0,0,0,0,0,0
5.65696,0,0,0,0,0,0
5.809228,0,0,0,0,0,0
5.860895,0,0,0,0,0,0
6.009288,0,0,0,0,0,0
6.062851,0,0,0,0,0,0
6.211003,0,0,0,0,0,0
6.263857,0,0,0,0,0,0
6.412971,0,0,0,0,0,0
6.466912,0,0,0,0,0,0
6.615512,0,0,0,0,0,0
6.66736,0,0,0,0,0,0
6.816621,0,0,0,0,0,0
6.869315,0,0,0,0,0,0
7.018897,0,0,0,0,0,0
7.070935,0,0,0,0,0,0
7.221734,0,0,0,0,0,0
7.274179,0,0,0,0,0,0
7.421879,0,0,0,0,0,0
7.475104,0,0,0,0,0,0
7.623676,0,0,0,0,0,0
7.67627,0,0,0,0,0,0
7.825689,0,0,0,0,0,0
7.878956,0,0,0,0,0,0
8.027022,0,0,0,0,0,0
8.079003,0,0,0,0,0,0
8.227538,0,0,0,0,0,0
8.283682,0,0,0,0,0,0
8.429409,0,0,0,0,0,0
8.487138,0,0,0,0,0,0
8.633284,0,0,0,0,0,0
8.689856,0,0,0,0,0,0
8.833586,0,0,0,0,0,0
8.89194,0,0,0,0,0,0
9.036352,0,0,0,0,0,0
9.09231,0,0,0,0,0,0
9.236448,0,0,0,0,0,0
9.293446,0,0,0,0,0,0
9.437064,0,0,0,0,0,0
9.493908,0,0,0,0,0,0
9.638973,0,0,0,0,0,0
9.696508,0,0,0,0,0,0
9.840534,0,0,0,0,0,0
9.896712,0,0,0,0,0,0
10.04339,0,0,0,0,0,0
10.09928,0,0,0,0,0,0
10.24362,0,0,0,0,0,0
10.30135,0,0,0,0,0,0
10.44628,0,0,0,0,0,0
10.50392,0,0,0,0,0,0
10.647,0,0,0,0,0,0
10.70707,0,0,0,0,0,0
10.85006,0,0,0,0,0,0
10.90993,0,0,0,0,0,0
11.05204,0,0,0,0,0,0
11.11176,0,0,0,0,0,0
11.25425,0,0,0,0,0,0
11.31488,0,0,0,0,0,0
11.45486,0,0,0,0,0,0
11.51747,0,0,0,0,0,0
11.65812,0,0,0,0,0,0
11.72116,0,0,0,0,0,0
11.8616,0,0,0,0,0,0
11.9222,0,0,0,0,0,0
12.06349,0,0,0,0,0,0
12.12272,0,0,0,0,0,0
12.26867,0,0,0,0,0,0
12.32728,0,0,0,0,0,0
12.46976,0,0,0,0,0,0
12.52801,0,0,0,0,0,0
12.67209,0,0,0,0,0,0
12.72982,0,0,0,0,0,0
12.87294,0,0,0,0,0,0
12.93052,0,0,0,0,0,0
13.07443,0,0,0,0,0,0
13.13153,0,0,0,0,0,0
13.2747,0,0,0,0,0,0
13.33431,0,0,0,0,0,0
13.47722,0,0,0,0,0,0
13.537,0,0,0,0,0,0
13.67755,0,0,0,0,0,0
13.73969,0,0,0,0,0,0
13.87935,0,0,0,0,0,0
13.9417,0,0,0,0,0,0
14.08047,0,0,0,0,0,0
14.14302,0,0,0,0,0,0
14.28202,0,0,0,0,0,0
14.3439,0,0,0,0,0,0
14.48227,0,0,0,0,0,0
14.5446,0,0,0,0,0,0
14.68405,0,0,0,0,0,0
14.74545,0,0,0,0,0,0
14.88521,0,0,0,0,0,0
14.94806,0,0,0,0,0,0
15.08552,0,0,0,0,0,0
15.15067,0,0,0,0,0,0
15.28718,0,0,0,0,0,0
15.35205,0,0,0,0,0,0
15.4878,0,0,0,0,0,0
