TimeSinceStart,PosX,PosY,PosZ,RotX,RotY,RotZ,CurrentSpeed,SteeringAngle,PedalInput
0,1,0,0,0,0,0,0,0,0
0.2074928,1,0,0,0,0,0,0,0,0
0.4100823,1,0,0,0,0,0,0,0,0
0.6194878,1,0,0,0,0,0,0,0,0
0.8269482,1,0,0,0,0,0,0,0,0
1.035589,1,0,0,0,0,0,0,0,0
1.244871,1,0,0,0,0,0,0,0,0
1.453068,1,0,0,0,0,0,0,0,0
1.662737,1,0,0,0,0,0,0,0,0
1.871286,1,0,0,0,0,0,0,0,0
2.079802,1,0,0,0,0,0,0,0,0
2.288769,1,0,0,0,0,0,0,0,0
2.496713,1,0,0,0,0,0,0,0,0
2.705895,1,0,0,0,0,0,0,0,0
2.914265,1,0,0,0,0,0,0,0,0
3.123009,1,0,0,0,0,0,0,0,0
3.331753,1,0,0.02426095,0,0,0,0,0,0
3.540457,1,0,0.3212325,0,0,0,0,0,0
3.748537,1,0,0.5752096,0,0,0,0,0,0
3.956828,1,0,0.5752096,0,0,0,0,0,0
4.165556,1,0,0.5752096,0,0,0,0,0,0
4.374303,1,0,0.5752096,0,0,0,0,0,0
4.582332,1,0,0.5752096,0,0,0,0,0,0
4.790835,1,0,0.5752096,0,0,0,0,0,0
4.998743,1,0,0.5752096,0,0,0,0,0,0
5.207509,1,0,0.5752096,0,0,0,0,0,0
5.416186,1,0,0.5752096,0,0,0,0,0,0
5.62458,1,0,0.5752096,0,0,0,0,0,0
5.833056,1,0,0.5752096,0,0,0,0,0,0
6.041649,1,0,0.5752096,0,0,0,0,0,0
6.249954,1,0,0.5752096,0,0,0,0,0,0
6.4581,1,0,0.5752096,0,0,0,0,0,0
6.666584,1,0,0.5752096,0,0,0,0,0,0
6.874914,1,0,0.7067879,0,0,0,0,0,0
7.083154,1,0,1.117776,0,0,0,0,0,0
7.291757,1,0,1.530479,0,0,0,0,0,0
7.500018,1,0,1.943895,0,0,0,0,0,0
7.708486,1,0,2.357797,0,0,0,0,0,0
7.916941,1,0,2.771957,0,0,0,0,0,0
8.125309,1,0,3.186273,0,0,0,0,0,0
8.333736,1,0,3.601669,0,0,0,0,0,0
8.542213,1,0,4.017914,0,0,0,0,0,0
8.75054,1,0,4.433431,0,0,0,0,0,0
8.958643,1,0,4.488609,0,0,0,0,0,0
9.167248,1,0,4.103701,0,0,0,0,0,0
9.375406,1,0,3.708706,0,0,0,0,0,0
9.583956,1,0,3.313125,0,0,0,0,0,0
9.792194,1,0,2.918097,0,0,0,0,0,0
10.00097,1,0,2.522218,0,0,0,0,0,0
10.20899,1,0,2.127655,0,0,0,0,0,0
10.41758,1,0,1.731974,0,0,0,0,0,0
10.62573,1,0,1.336985,0,0,0,0,0,0
10.83344,1,0,0.9429045,0,0,0,0,0,0
11.04153,1,0,0.5480404,0,0,0,0,0,0
11.25009,1,0,0.1524385,0,0,0,0,0,0
11.45843,1,0,-0.2428558,0,0,0,0,0,0
11.66675,1,0,-0.6380928,0,0,0,0,0,0
11.87512,1,0,-1.033505,0,0,0,0,0,0
12.08359,1,0,-1.428882,0,0,0,0,0,0
12.29203,1,0,-1.824426,0,0,0,0,0,0
12.50002,1,0,-2.209971,0,0,0,0,0,0
12.70883,1,0,-2.209971,0,0,0,0,0,0
12.91753,1,0,-2.209971,0,0,0,0,0,0
13.1255,1,0,-2.209971,0,0,0,0,0,0
13.33417,1,0,-2.209971,0,0,0,0,0,0
13.54284,1,0,-2.209971,0,0,0,0,0,0
13.75066,1,0,-2.209971,0,0,0,0,0,0
13.95878,1,0,-2.209971,0,0,0,0,0,0
14.16714,1,0,-2.209971,0,0,0,0,0,0
14.37534,1,0,-2.209971,0,0,0,0,0,0
14.5838,1,0,-2.209971,0,0,0,0,0,0
14.7922,1,0,-2.209971,0,0,0,0,0,0
15.00081,1,0,-2.209971,0,0,0,0,0,0
15.20881,1,0,-2.209971,0,0,0,0,0,0
15.41704,1,0,-2.209971,0,0,0,0,0,0
15.62569,1,0,-2.209971,0,0,0,0,0,0
15.83417,1,0,-2.189613,0,0,0,0,0,0
16.04218,1,0,-2.061249,0,0,0,0,0,0
16.25049,1,0,-1.917696,0,0,0,0,0,0
16.45877,1,0,-1.729027,0,0,0,0,0,0
16.66729,1,0,-1.446669,0,0,0,0,0,0
16.87542,1,0,-1.165511,0,0,0,0,0,0
17.08393,1,0,-0.8783982,0,0,0,0,0,0
17.29233,1,0,-0.7439007,0,0,0,0,0,0
17.50041,1,0,-0.7439007,0,0,0,0,0,0
17.70873,1,0,-0.7439007,0,0,0,0,0,0
17.91717,1,0,-0.7439007,0,0,0,0,0,0
18.12566,1,0,-0.7439007,0,0,0,0,0,0
18.33388,1,0,-0.7439007,0,0,0,0,0,0
18.5422,1,0,-0.7439007,0,0,0,0,0,0
18.75096,1,0,-0.7439007,0,0,0,0,0,0
18.95905,1,0,-0.7439007,0,0,0,0,0,0
19.16741,1,0,-0.7439007,0,0,0,0,0,0
19.37583,1,0,-0.7439007,0,0,0,0,0,0
19.58378,1,0,-0.7439007,0,0,0,0,0,0
19.79216,1,0,-0.7439007,0,0,0,0,0,0
20.00049,1,0,-0.7439007,0,0,0,0,0,0
20.20887,1,0,-0.7439007,0,0,0,0,0,0
20.41728,1,0,-0.7439007,0,0,0,0,0,0
20.62576,1,0,-0.7439007,0,0,0,0,0,0
20.83388,1,0,-0.7439007,0,0,0,0,0,0
21.04263,1,0,-0.7439007,0,0,0,0,0,0
21.25043,1,0,-0.7439007,0,0,0,0,0,0
21.45925,1,0,-0.7439007,0,0,0,0,0,0
21.66742,1,0,-0.7439007,0,0,0,0,0,0
21.87582,1,0,-0.7439007,0,0,0,0,0,0
22.0839,1,0,-0.7439007,0,0,0,0,0,0
22.29209,1,0,-0.7439007,0,0,0,0,0,0
22.50078,1,0,-0.7439007,0,0,0,0,0,0
22.7092,1,0,-0.7439007,0,0,0,0,0,0
22.91703,1,0,-0.7439007,0,0,0,0,0,0
23.12585,1,0,-0.7439007,0,0,0,0,0,0
23.33414,1,0,-0.7439007,0,0,0,0,0,0
23.54242,1,0,-0.7439007,0,0,0,0,0,0
23.75078,1,0,-0.6783332,0,0,0,0,0,0
23.95876,1,0,-0.2624017,0,0,0,0,0,0
24.16737,1,0,0.1547336,0,0,0,0,0,0
24.37566,1,0,0.5711393,0,0,0,0,0,0
24.58359,1,0,0.9868873,0,0,0,0,0,0
24.79191,1,0,1.236139,0,0,0,0,0,0
25.00061,1,0,1.236139,0,0,0,0,0,0
25.20902,1,0,1.236139,0,0,0,0,0,0
25.41749,1,0,1.236139,0,0,0,0,0,0
25.62578,1,0,1.236139,0,0,0,0,0,0
25.83402,1,0,1.236139,0,0,0,0,0,0
26.04226,1,0,1.236139,0,0,0,0,0,0
26.25063,1,0,1.236139,0,0,0,0,0,0
26.45899,1,0,1.236139,0,0,0,0,0,0
26.66753,1,0,1.00173,0,0,0,0,0,0
26.87565,1,0,0.5991856,0,0,0,0,0,0
27.0839,1,0,0.1964106,0,0,0,0,0,0
27.29225,1,0,-0.2060983,0,0,0,0,0,0
27.50079,1,0,-0.6061953,0,0,0,0,0,0
27.70909,1,0,-1.00437,0,0,0,0,0,0
27.91736,1,0,-1.401944,0,0,0,0,0,0
28.12544,1,0,-1.798715,0,0,0,0,0,0
28.3338,1,0,-2.196383,0,0,0,0,0,0
28.54234,1,0,-2.593227,0,0,0,0,0,0
28.75076,1,0,-2.989848,0,0,0,0,0,0
28.95892,1,0,-3.387355,0,0,0,0,0,0
29.16724,1,0,-3.787272,0,0,0,0,0,0
29.37571,1,0,-3.841552,0,0,0,0,0,0
29.58408,1,0,-3.470849,0,0,0,0,0,0
