TimeSinceStart,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ
0,0,0,0,0,0,0
0.2074928,0.6779315,1.633202,-0.4077361,41.70192,131.4536,358.2932
0.4100823,0.6776,1.676373,-0.386418,38.70308,132.3268,359.8245
0.6194878,0.6870621,1.713068,-0.399441,28.81498,144.5526,359.5959
0.8269482,0.6551753,1.715264,-0.4342901,31.16026,179.4158,359.3832
1.035589,0.5972962,1.697853,-0.4250998,36.51023,216.2579,1.698645
1.244871,0.5354857,1.683174,-0.3807069,39.85553,246.7504,3.513627
1.453068,0.4841005,1.672171,-0.3174052,42.39632,265.183,0.7479792
1.662737,0.4642312,1.65225,-0.2712837,47.11563,278.0591,357.4912
1.871286,0.4607663,1.648709,-0.2645631,49.27298,280.4089,350.3523
2.079802,0.4823857,1.641549,-0.2896232,51.12854,280.0809,349.86
2.288769,0.5358855,1.625466,-0.3511879,55.93247,278.4836,351.2722
2.496713,0.584009,1.613645,-0.4134909,61.48346,277.7546,351.2494
2.705895,0.6186231,1.618957,-0.4468367,61.59574,276.5874,353.3503
2.914265,0.6492694,1.621425,-0.4446129,59.90529,277.3498,358.3849
3.123009,0.6711653,1.625637,-0.4190939,59.54868,278.2035,359.2704
3.331753,0.6915207,1.627538,-0.4012718,59.03683,279.2236,0.2003244
3.540457,0.70797,1.627659,-0.3890882,58.89796,278.5071,359.6585
3.748537,0.7176745,1.628882,-0.368689,58.6354,282.7598,0.5836567
3.956828,0.7454892,1.640959,-0.2993165,52.77276,319.2058,17.06395
4.165556,0.8240317,1.641465,-0.2335659,52.10639,353.1738,19.32062
4.374303,0.8696169,1.631729,-0.2223835,56.32268,358.9754,10.7617
4.582332,0.8719088,1.618165,-0.244242,57.13344,356.0654,3.79982
4.790835,0.8453091,1.659177,-0.2758038,35.54255,353.9242,354.5204
4.998743,0.8346438,1.626748,-0.3227936,51.37313,356.8195,357.0404
5.207509,0.8535659,1.648429,-0.3570773,47.29187,357.7015,357.5482
5.416186,0.8945658,1.66106,-0.3704871,44.60027,356.0573,357.2023
5.62458,0.9403802,1.685055,-0.3741217,32.67014,355.7349,357.9012
5.833056,0.9729699,1.683486,-0.3823331,38.97501,354.6589,359.1578
6.041649,0.9604313,1.650188,-0.3885702,52.55106,344.679,353.6517
6.249954,0.9106789,1.647835,-0.3722409,52.28342,346.2489,354.085
6.4581,0.8511446,1.64799,-0.3457587,51.84477,354.4661,356.5311
6.666584,0.8150887,1.648354,-0.3297673,51.27019,359.0092,357.6536
6.874914,0.8136939,1.658846,-0.3347916,48.62737,359.3513,358.6858
7.083154,0.8270825,1.673118,-0.3298399,43.61767,0.0007102314,0.2160279
7.291757,0.8382552,1.699119,-0.3327562,34.05564,359.5942,1.219592
7.500018,0.8449042,1.719483,-0.3446494,27.30819,357.4878,359.9378
