TimeSinceStart,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ
0,0,0,0,0,0,0
0.2095761,-0.3105372,1.665127,-0.3510831,18.44124,270.0089,0.7367695
0.4189887,-0.2981157,1.629184,-0.3263706,33.11771,286.0208,358.4464
0.6316161,-0.2655151,1.614308,-0.3030663,37.3047,303.8053,0.6267498
0.8443179,-0.2262342,1.622909,-0.2892473,33.44448,315.6288,0.4380539
1.053143,-0.1938004,1.62679,-0.2774184,33.85505,321.3925,1.542387
1.261124,-0.1492309,1.626494,-0.2860628,34.74197,320.4108,0.8411822
1.471077,-0.09736344,1.61652,-0.3106976,35.62133,316.107,3.027836
1.679339,-0.0510976,1.627741,-0.3343241,33.7901,312.3761,2.36235
1.887737,-0.03134552,1.629756,-0.3326371,32.64389,317.9759,0.9414651
2.09616,-0.04175983,1.61394,-0.3329262,38.01793,325.9421,356.4015
2.304468,-0.07012837,1.577562,-0.3352775,49.06475,333.5477,352.566
2.512627,-0.07857738,1.56212,-0.3392574,48.07886,352.9328,354.9619
2.721063,-0.05648064,1.590762,-0.360681,42.56935,18.09521,359.6915
2.926669,-0.04907306,1.570456,-0.3854126,45.18187,28.34745,0.6897968
3.134589,-0.01653256,1.582095,-0.3923261,43.15595,26.5902,1.591221
3.343194,0.03678642,1.582467,-0.3888919,34.92161,15.69843,2.450962
3.552724,0.09084765,1.625939,-0.3715208,21.58442,9.774658,4.709708
3.760071,0.1314606,1.654426,-0.36953,12.47729,5.24261,4.009037
3.969247,0.1443637,1.657326,-0.389291,10.79661,359.045,3.14747
4.177786,0.130481,1.653209,-0.407643,9.510731,346.1439,3.211617
4.387148,0.09271131,1.649733,-0.4225308,11.95538,330.8572,2.226528
4.595785,0.03169641,1.664027,-0.4456905,13.57178,321.3607,2.21963
4.804345,-0.03338632,1.664555,-0.4796919,14.66374,313.3041,1.227068
5.012906,-0.09520265,1.664816,-0.5050215,13.77226,312.1073,359.6524
5.221554,-0.1412838,1.671114,-0.5150837,10.60615,324.4839,0.4940372
5.430171,-0.1797275,1.683988,-0.5210944,7.433937,331.4753,1.946372
5.638737,-0.1901643,1.691405,-0.5193852,2.148941,342.541,5.761274
5.847119,-0.1804519,1.710291,-0.5098921,352.7205,356.5813,5.367176
6.055686,-0.1737868,1.727951,-0.4911157,343.1131,3.907447,1.583544
6.264403,-0.1708564,1.749867,-0.463652,332.4635,8.669496,357.1218
6.472493,-0.1673773,1.761514,-0.4422735,325.2681,9.28341,354.9112
6.68098,-0.1651252,1.762349,-0.418679,325.9854,11.26319,353.8946
6.889486,-0.1755701,1.758852,-0.4015896,329.4103,4.000933,358.9597
7.098045,-0.1845129,1.746415,-0.3917188,338.9788,349.6458,6.469888
7.306399,-0.1820833,1.727543,-0.4121153,350.26,329.5657,9.352707
7.514791,-0.1873724,1.70581,-0.449271,0.9063149,301.7839,7.079562
7.723138,-0.1947217,1.68635,-0.4775149,10.40987,274.871,2.710786
7.931713,-0.1965165,1.677412,-0.4787433,13.70472,264.8039,1.252712
8.138315,-0.2103248,1.679918,-0.4797965,12.98843,258.7803,2.674766
8.346707,-0.2206275,1.686192,-0.5135873,10.06559,240.7256,4.936077
8.555547,-0.1989448,1.699801,-0.5554285,3.161501,215.8148,7.995756
8.763763,-0.1447961,1.710894,-0.5803552,356.7911,188.7755,12.95319
8.972505,-0.09976207,1.71703,-0.5791383,351.7656,167.6432,13.54538
9.180961,-0.09143427,1.720644,-0.5776825,348.9631,157.9349,14.92854
9.389628,-0.08702588,1.720051,-0.5810157,349.3614,153.9914,15.37522
9.598228,-0.1040278,1.718635,-0.5901301,351.3422,160.6895,11.4475
9.806398,-0.1512771,1.710788,-0.5983994,357.06,181.1087,2.135024
10.01523,-0.2093103,1.687215,-0.5794641,7.179461,212.7015,353.4666
10.22329,-0.2488476,1.665311,-0.5260579,17.11877,249.0536,351.4204
10.43183,-0.2507711,1.649624,-0.4870246,22.30324,280.3504,352.1569
10.64004,-0.2374849,1.640712,-0.4834761,22.80068,299.5986,353.1614
10.84844,-0.2251204,1.64065,-0.475979,21.5095,312.1821,354.4131
11.05759,-0.2169975,1.639347,-0.4674901,20.43244,318.7383,353.5347
11.26531,-0.18377,1.626309,-0.4408315,20.6644,323.9554,354.2487
11.47373,-0.1136068,1.64167,-0.3817366,21.61536,329.8999,1.652358
11.682,-0.04255171,1.654017,-0.320373,20.0601,333.6829,7.715685
11.89071,-0.04008621,1.6479,-0.3109567,21.93103,319.4171,7.353648
12.09875,-0.0611519,1.627048,-0.3301736,23.31479,309.0854,3.605263
12.30729,-0.1164424,1.62661,-0.3769366,24.70403,299.7603,1.868378
12.51532,-0.1907448,1.645649,-0.4364316,23.58503,290.2703,357.3629
12.72386,-0.2511995,1.652308,-0.4714755,23.1899,288.7898,357.7649
12.93222,-0.2727228,1.639399,-0.4575506,25.16364,299.5863,358.0592
13.14069,-0.2588401,1.641955,-0.4376908,24.49752,307.4073,356.0524
13.34858,-0.2414345,1.659019,-0.4126428,21.21072,308.7731,356.7418
13.55713,-0.2185166,1.650554,-0.3847538,23.68011,308.0309,358.0929
13.76542,-0.1614347,1.600486,-0.3336753,35.49112,317.0109,356.1353
13.97399,-0.05553579,1.571814,-0.2670179,47.11699,341.3818,1.573762
14.18219,0.03027662,1.560053,-0.2278595,51.95886,352.6938,1.355533
14.39055,0.09193137,1.561057,-0.198372,52.78313,0.5310865,356.1199
14.59872,0.1365284,1.604176,-0.1733807,33.83446,14.30996,353.8387
14.8074,0.1411713,1.646585,-0.1761571,24.20275,26.72415,353.0853
15.01555,0.1006868,1.610887,-0.1427698,39.77042,22.01346,358.0417
15.22403,0.08570141,1.637246,-0.1060621,26.23987,16.34715,348.404
15.43167,0.1263202,1.615355,-0.05729019,35.93424,20.84921,353.4751
15.64041,0.1601859,1.563971,0.02943709,50.89111,7.262839,351.1487
15.84866,0.1766487,1.533418,0.108236,52.40268,351.2437,338.5537
16.05744,0.1750335,1.499503,0.1662842,55.64329,340.7947,334.5406
16.26547,0.1744498,1.485585,0.1967216,56.80865,336.3327,333.6871
16.47391,0.1898754,1.487886,0.1992044,59.26068,341.8705,339.8453
16.68182,0.2262128,1.506574,0.1922985,56.29841,358.1562,350.7518
16.89049,0.2663733,1.544548,0.1698298,46.26768,8.773444,355.0233
17.09882,0.2865059,1.558395,0.1479689,43.71047,4.98775,349.0858
17.30703,0.283812,1.531222,0.1353259,54.31906,353.5135,342.4942
17.51525,0.2678359,1.5096,0.1333401,60.22797,342.8144,337.9717
17.72359,0.273043,1.529501,0.1359341,52.39108,353.6912,345.3946
17.93192,0.2979902,1.582806,0.1067196,34.3815,23.12844,355.504
18.14052,0.2958564,1.615353,0.03554466,27.25738,39.34925,355.1977
18.34868,0.2815283,1.612797,-0.01914115,30.70869,49.41394,356.5115
18.55699,0.259506,1.606136,-0.01637755,32.39974,40.7397,355.0844
18.7653,0.2056483,1.584405,0.02967878,38.12609,9.695404,348.4165
18.9735,0.1381179,1.565955,0.06007694,44.175,340.6996,341.0129
19.18161,0.1111064,1.548921,0.07190754,51.18908,340.2753,346.2499
19.39164,0.1106449,1.544908,0.05848487,55.75478,353.5503,353.0747
19.59533,0.1071261,1.550964,0.02916144,55.52457,0.4263027,354.278
19.80521,0.09779141,1.558293,-0.008000026,53.7603,9.945946,357.472
20.01408,0.08370867,1.557602,-0.03727838,53.25756,18.95688,1.032138
20.22266,0.07266087,1.56423,-0.06076575,50.10725,31.04395,7.401105
20.43073,0.05630063,1.595653,-0.09181897,40.00157,28.70645,5.481909
20.63942,0.05255275,1.634158,-0.1253207,28.17532,22.81512,4.867831
20.8489,0.05846617,1.658441,-0.1584055,20.21008,17.23625,4.164845
21.05651,0.07021224,1.672588,-0.1937128,14.73158,13.25429,5.131617
21.26523,0.09216642,1.670406,-0.2212226,13.77391,9.642623,6.096469
21.47365,0.104144,1.673239,-0.2454865,12.6464,7.309114,4.772598
21.68217,0.08689851,1.678277,-0.2626803,9.336167,7.596235,2.704523
21.89087,0.04481215,1.668039,-0.2482085,15.19392,9.52883,1.055439
22.09903,-0.003296046,1.652091,-0.2245217,22.4629,15.25472,358.9691
22.30742,-0.03073479,1.629299,-0.1947007,29.22844,29.05625,357.7168
22.51605,-0.04084539,1.613573,-0.1891742,34.86152,42.58108,358.3218
22.72456,-0.04860146,1.629991,-0.2110759,30.64745,50.59346,0.790753
22.93254,-0.0401302,1.615684,-0.2404579,34.97219,52.64634,1.768605
23.14126,-0.0398184,1.595106,-0.2575288,38.65427,51.81459,359.9142
23.34982,-0.08189198,1.600665,-0.2346305,40.50253,44.93489,359.2078
23.55822,-0.1279421,1.608706,-0.1912898,40.81247,40.33316,1.10363
23.76638,-0.1599111,1.610099,-0.1540874,40.54598,37.92132,1.850231
23.9749,-0.159898,1.606883,-0.1503774,40.47932,51.47059,6.889387
24.18345,-0.1506824,1.60339,-0.1695529,39.93093,68.19698,12.95351
24.3921,-0.146069,1.605309,-0.1791819,39.39166,72.43259,13.55258
24.60022,-0.1377718,1.606363,-0.1821796,39.30833,73.02956,13.31051
