TimeSinceStart,PosX,PosY,PosZ,RotX,RotY,RotZ,CurrentSpeed,SteeringAngle,AccPedal,BrakePedal
0,-0.0272036,2.916594,0.4381639,-1.23834E-05,358.0226,2.059727E-10,0,0,0,0
0.1031761,-0.02720426,2.916594,0.4381638,-5.11159E-06,358.0224,7.287434E-07,0,0,0,0
0.223177,-0.0272042,2.916594,0.4381639,-3.433514E-06,358.0224,-1.008275E-06,0,0,0,0
0.3431759,-0.02720277,2.916594,0.438164,-1.022319E-05,358.0228,1.457456E-06,0,0,0,0
0.4631767,-0.02720026,2.916594,0.438164,-1.109169E-05,358.0233,6.183586E-07,0,0,0,0
0.5831757,-0.02720022,2.916594,0.438164,-1.681772E-06,358.0234,1.523561E-06,0,0,0,0
0.7031765,-0.02720021,2.916594,0.4381641,-9.373101E-06,358.0233,1.229231E-06,0,0,0,0
0.8231754,-0.02720024,2.916594,0.4381641,-1.452888E-05,358.0233,-6.033877E-07,0,0,0,0
0.9431763,-0.02719994,2.916594,0.438164,2.583414E-06,358.0234,1.236476E-06,0,0,0,0
1.063175,-0.02719778,2.916594,0.4381641,-4.254144E-06,358.0239,9.273955E-07,0,0,0,0
1.183176,-0.02719779,2.916592,0.4381649,-5.078469E-06,358.024,2.649666E-06,0,0,0,0
1.303177,-0.02719782,2.916582,0.438172,-6.795224E-06,358.0241,2.145494E-06,0,0,0,0
1.423176,-0.02719622,2.916582,0.4381722,-9.341831E-06,358.0245,3.043405E-06,0,0,0,0
1.543177,-0.02719668,2.916579,0.4381793,-4.226545E-06,358.0243,2.528207E-06,0,0,0,0
1.663176,-0.02719588,2.916566,0.43821,-9.3478E-06,358.0241,2.696596E-06,0,0,0,0
1.783176,-0.02719675,2.916566,0.4382099,-8.474469E-06,358.0239,3.815805E-06,0,0,0,0
1.903175,-0.02719785,2.916564,0.4382156,-2.076911E-06,358.0237,3.371869E-06,0,-3.271773,0,0
2.023176,-0.02713531,2.916801,0.4383614,359.9781,358.1036,359.9047,0,-3.594729,0,0
2.143175,-0.02725073,2.916524,0.4382079,-1.697424E-06,358.024,6.164178E-07,0,-3.599929,0,0
2.263176,-0.02724189,2.916474,0.4382672,-5.858482E-06,358.0255,6.946519E-06,0,-3.599991,0,0
2.383177,-0.02720912,2.916457,0.4383047,-5.139168E-06,358.0286,-8.723578E-07,0,-3.599991,0,0
2.503176,-0.02720546,2.916456,0.4383113,-3.279916E-06,358.0287,7.916139E-06,0,-3.599991,0,0
2.623177,-0.02720451,2.916456,0.4383112,-5.968843E-06,358.029,5.430355E-07,0,-3.599991,0,0
2.743176,-0.02717527,2.916432,0.4383923,-2.514398E-06,358.0292,2.772129E-06,0,-3.599991,0,0
2.863176,-0.02726725,2.916391,0.4383515,-9.207521E-06,358.0295,1.086036E-05,0,-3.599991,0,0
2.983175,-0.02728268,2.916315,0.4383356,-9.285141E-06,358.031,6.351246E-06,0,-3.599991,0,0
3.103176,-0.02729134,2.916286,0.4382898,-1.606032E-05,358.0312,9.670248E-06,0,-3.599991,0,0
3.223175,-0.02728949,2.916174,0.438233,-5.903069E-06,358.0313,4.371554E-06,0,-3.599991,0,0
