TimeSinceStart,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ
0,0.03961185,3.196344,0.03413631,14.36341,13.35497,10.67246
0.1031761,0.05117361,3.190734,0.03931203,17.6727,16.34062,8.180894
0.223177,0.05765057,3.186399,0.04195413,19.64788,16.59727,7.35637
0.3431759,0.06734507,3.184671,0.04275551,20.90251,16.99077,4.376579
0.4631767,0.07061481,3.181221,0.0437295,21.91356,17.7905,4.431935
0.5831757,0.06896254,3.180757,0.04274784,22.09064,18.11019,4.760077
0.7031765,0.06787959,3.180537,0.04136712,22.07308,17.98624,5.025304
0.8231754,0.06796554,3.180954,0.04154553,22.0922,18.27645,4.84768
0.9431763,0.06391303,3.181263,0.04395249,21.9242,15.79461,3.719528
1.063175,0.05929305,3.180501,0.05389451,21.63849,11.21828,2.547369
1.183176,0.06488134,3.168611,0.0682624,23.90296,8.180422,357.6525
1.303177,0.06838609,3.163252,0.07248493,23.95754,7.321751,353.7959
1.423176,0.06125133,3.163467,0.07128008,23.54422,8.102027,353.1595
1.543177,0.06011952,3.166973,0.08945433,16.56284,4.008012,354.1777
1.663176,0.05145236,3.173084,0.08687501,20.04232,2.345402,354.4397
1.783176,0.04949763,3.171992,0.083956,19.1404,1.437893,350.7762
1.903175,0.04394852,3.184058,0.09389824,14.81669,1.822857,346.7413
2.023176,0.04904218,3.21077,0.1507491,15.67659,1.223391,343.054
2.143175,0.05484519,3.185877,0.1789513,20.37038,352.8731,332.9209
2.263176,0.03485502,3.171077,0.1920927,22.28442,358.8296,334.5869
2.383177,0.02204913,3.156607,0.1925804,22.46626,2.196138,337.8879
2.503176,0.02084189,3.155997,0.1890455,18.63997,0.9583527,336.7988
2.623177,0.02697797,3.147728,0.1994849,15.49056,1.128608,333.2688
2.743176,0.01393465,3.116089,0.2093791,24.0708,0.4542119,322.6678
2.863176,-0.003260785,3.067826,0.2226203,32.42036,356.0641,318.2937
2.983175,-0.03031721,3.033835,0.2371391,44.14262,353.7824,314.1927
3.103176,-0.04530801,3.00513,0.2437142,51.41376,340.3132,302.4391
3.223175,-0.06197361,2.987121,0.2474482,54.3527,328.8103,293.6639
3.341314,-0.08453357,2.983915,0.2489277,57.10076,312.2115,276.9605
3.453039,-0.1056753,2.984229,0.2514089,53.11644,298.9553,261.3249
3.563522,-0.1257483,2.983519,0.259686,53.59543,288.0056,248.5771
3.676207,-0.1418797,2.979232,0.2773822,53.13056,287.8206,245.6168
3.789579,-0.1578681,2.971948,0.3056481,56.63691,292.7185,246.2715
3.901201,-0.1823301,2.968219,0.3309388,59.73332,302.3786,252.6027
4.011229,-0.2184856,2.966865,0.3512505,61.9778,307.9631,257.3
4.118057,-0.2589867,2.96611,0.3666891,63.8159,311.7086,260.5262
4.222805,-0.2918873,2.96346,0.3743287,64.02103,317.9359,268.3877
4.327414,-0.3232402,2.958054,0.3852151,64.57303,322.7011,274.1174
4.429581,-0.3452147,2.947986,0.3978304,67.19608,323.9615,275.4049
4.531036,-0.3639681,2.934316,0.4084088,69.42208,327.7797,279.0624
4.644812,-0.3904396,2.915124,0.4158202,70.96915,335.0623,287.5484
4.75865,-0.4201393,2.90322,0.4178656,72.36954,336.9269,290.5704
4.872129,-0.4460825,2.899444,0.4206595,73.65276,331.4348,286.1668
4.983158,-0.4679698,2.901382,0.4291376,74.49302,322.7252,276.5995
5.09297,-0.4893708,2.901369,0.433578,76.35681,309.1231,262.4515
5.202393,-0.512529,2.893614,0.4301762,73.6924,309.8765,263.8411
5.311245,-0.5391678,2.88379,0.4212097,73.20249,300.5208,256.0413
5.41807,-0.5639026,2.869855,0.4111141,72.48174,282.1499,243.9001
5.525475,-0.6027868,2.8448,0.4020793,73.89122,271.1127,237.4877
5.631487,-0.6406747,2.821716,0.3906412,77.32815,261.6722,231.4941
5.736786,-0.6762156,2.806764,0.3752612,79.44015,255.5688,230.1715
5.843416,-0.7180943,2.8019,0.3503807,80.05319,231.528,213.126
