TimeSinceStart,IsLeftTracked,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,IsRightTracked,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ
0,0,0,0,0,0,0,0,1,0.2961201,2.794242,0.2553739,85.43365,35.15541,302.1793
0.1031761,0,0,0,0,0,0,0,1,0.333723,2.776687,0.3028848,76.50673,66.47003,327.5383
0.223177,0,0,0,0,0,0,0,1,0.3361517,2.759038,0.3301118,75.37629,87.43633,344.3803
0.3431759,0,0,0,0,0,0,0,1,0.3361131,2.749502,0.3338453,73.35506,82.36159,341.8432
0.4631767,0,0,0,0,0,0,0,1,0.3364512,2.732846,0.3355343,63.79187,71.40946,339.9122
0.5831757,0,0,0,0,0,0,0,1,0.3376653,2.719893,0.3408178,41.12098,75.96371,348.709
0.7031765,0,0,0,0,0,0,0,1,0.337985,2.716908,0.3396381,24.38822,70.74987,350.1187
0.8231754,0,0,0,0,0,0,0,1,0.3464298,2.711344,0.3281522,14.30263,74.45051,358.9517
0.9431763,0,0,0,0,0,0,0,1,0.345574,2.716733,0.3311926,19.00135,81.01883,2.810548
1.063175,0,0,0,0,0,0,0,1,0.3482793,2.763803,0.3270313,1.764936,71.39338,2.011102
1.183176,0,0,0,0,0,0,0,1,0.2898556,3.149345,0.1427723,11.84611,29.72923,301.0747
1.303177,0,0,0,0,0,0,0,1,0.3070835,3.347073,0.1278999,341.9144,14.63552,304.8325
1.423176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.543177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.663176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.783176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.903175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.023176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.143175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.263176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.383177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.503176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.623177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.743176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.863176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.983175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.103176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.223175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.341314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.453039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.563522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.676207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.789579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.901201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.011229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.118057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.222805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.327414,0,0,0,0,0,0,0,1,-0.5235506,2.83813,0.3170234,317.8916,279.3508,148.9256
4.429581,0,0,0,0,0,0,0,1,-0.5874267,2.789364,0.3285467,74.36918,140.3841,20.44068
4.531036,1,-0.8327256,3.058299,0.165535,33.4304,104.8592,301.8935,1,-0.5948048,2.806263,0.3175683,73.3502,213.9035,105.0287
4.644812,0,0,0,0,0,0,0,1,-0.6332281,2.876613,0.267612,85.02973,276.3171,211.2467
4.75865,0,0,0,0,0,0,0,1,-0.5899034,2.876359,0.2256064,13.34878,244.0152,222.2862
4.872129,0,0,0,0,0,0,0,1,-0.6608333,2.866748,0.1853702,348.3649,195.6078,246.2655
4.983158,0,0,0,0,0,0,0,1,-0.6328074,2.906143,0.2008312,3.101398,176.6505,244.4328
5.09297,0,0,0,0,0,0,0,1,-0.612885,2.924386,0.1998556,13.72173,201.2177,253.2812
5.202393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.311245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.41807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.525475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.631487,0,0,0,0,0,0,0,1,-0.5743448,2.895237,0.1192658,323.8051,198.3915,15.46025
5.736786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.843416,0,0,0,0,0,0,0,1,-0.5853613,2.823605,0.1348558,288.5049,200.3652,338.7197
5.947931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.054434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.162373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.27235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.377773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.482553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.585833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.690912,0,0,0,0,0,0,0,1,-0.6209156,2.943186,-0.16471,354.551,84.39797,78.73959
6.796413,0,0,0,0,0,0,0,1,-0.694443,3.100161,-0.9585147,345.8416,137.9129,92.61365
6.901777,0,0,0,0,0,0,0,1,-0.6417556,3.019703,-0.7224021,357.3364,116.2534,92.84183
7.00831,0,0,0,0,0,0,0,1,-0.6186416,3.016718,-0.6948614,32.93981,129.3713,113.5673
7.11149,1,-1.050492,3.131369,-0.29592,298.5057,80.16499,165.9109,1,-0.6568327,3.000763,-0.7477548,16.47867,129.6105,85.24096
7.216835,1,-1.131076,3.247922,-0.4255779,302.9432,36.72233,229.6377,1,-0.6622875,2.964961,-0.7863908,19.10504,140.8695,67.31115
7.318729,1,-1.132683,3.252146,-0.3795936,303.5018,71.90656,200.9298,1,-0.6641505,2.96505,-0.7813653,20.53133,142.8944,60.77677
7.421585,1,-1.125096,3.2561,-0.2754408,322.9761,110.1164,162.3167,1,-0.642343,2.960165,-0.730112,27.73903,123.0368,42.68513
7.523115,1,-1.111052,3.280813,-0.2719875,305.6675,109.5962,156.8856,1,-0.5755938,2.93047,-0.6648142,31.72584,120.991,42.42192
