TimeSinceStart,TrackPhase,PosX,PosY,PosZ,RotX,RotY,RotZ,CurrentSpeed,SteeringAngle,AccPedal,BrakePedal
0,0,-0.04314659,2.905593,0.408737,359.9826,357.8253,1.474714E-05,0,0,0,0
0.1184616,0,-0.04306515,2.905593,0.4087339,359.9826,357.8424,1.779116E-05,0,0,0,0
0.2240143,0,-0.0430651,2.905593,0.4087338,359.9826,357.8424,1.677493E-05,0,0,0,0
0.3316078,0,-0.04306511,2.905593,0.4087338,359.9826,357.8424,1.704546E-05,0,0,0,0
0.4405022,0,-0.04305965,2.905593,0.4087337,359.9826,357.8435,1.776013E-05,0,0,0,0
0.5477657,0,-0.04305625,2.905598,0.4087408,359.9826,357.8462,1.693321E-05,0,0,0,0
0.650671,0,-0.04309833,2.905625,0.4087762,359.9826,357.8467,1.694616E-05,0,0,0,0
0.7541981,0,-0.04311947,2.905642,0.4087959,359.9826,357.8474,1.640552E-05,0,0,0,0
0.8694839,0,-0.04311816,2.905642,0.4087967,359.9826,357.8479,1.640974E-05,0,0,0,0
0.9705448,0,-0.04311395,2.905642,0.4087964,359.9826,357.8487,1.586037E-05,0,0,0,0
1.072929,0,-0.0431119,2.905642,0.4087962,359.9826,357.8492,1.510599E-05,0,0,0,0
1.18927,0,-0.04310828,2.905642,0.4087962,359.9826,357.8499,1.563598E-05,0,0,0,0
1.289904,0,-0.04310819,2.905642,0.4087961,359.9826,357.8499,1.621295E-05,0,0,0,0
1.40642,0,-0.0431547,2.905591,0.4087437,359.993,357.8379,0.004036792,0,0,0,0
1.518982,0,-0.04311026,2.905642,0.4087962,359.9826,357.8495,1.644197E-05,0,0,0,0
1.622072,0,-0.04311028,2.905642,0.4087963,359.9826,357.8495,1.690218E-05,0,0,0,0
1.727875,0,-0.04304516,2.905627,0.4087928,359.9842,357.8578,0.001547226,0,0,0,0
1.835861,0,-0.04311028,2.905642,0.4087962,359.9826,357.8495,1.539463E-05,0,0,0,0
1.945166,0,-0.04311028,2.905642,0.4087963,359.9826,357.8495,1.591417E-05,0,0,0,0
2.052322,0,-0.04311029,2.905642,0.4087963,359.9826,357.8495,1.620742E-05,0,0,0,0
2.160139,0,-0.04311214,2.905642,0.4087963,359.9826,357.8491,1.682693E-05,0,0,0,0
2.268215,0,-0.04311981,2.905642,0.4087968,359.9826,357.8475,1.624121E-05,0,0,0,0
2.376596,0,-0.04312255,2.905642,0.4087966,359.9826,357.8469,1.631222E-05,0,0,0,0
2.485048,0,-0.0431241,2.905642,0.4087968,359.9826,357.8466,1.609393E-05,0,0,0,0
2.594257,0,-0.04312653,2.905642,0.4087968,359.9826,357.8461,1.474557E-05,0,0,0,0
2.702225,0,-0.04312657,2.905642,0.408797,359.9826,357.8461,1.62625E-05,0,0,0,0
2.810711,0,-0.04312649,2.905642,0.4087968,359.9826,357.8461,1.688874E-05,0,0,0,0
2.920275,0,-0.04312651,2.905642,0.4087969,359.9826,357.8461,1.622498E-05,0,0,0,0
3.021837,0,-0.04312652,2.905642,0.4087968,359.9826,357.8461,1.584132E-05,0,0,0,0
3.129343,0,-0.04313818,2.905642,0.4087974,359.9826,357.8437,1.549518E-05,0,0,0,0
3.238321,0,-0.04314034,2.905642,0.4087973,359.9826,357.8432,1.545089E-05,0,0,0,0
3.339455,0,-0.04314033,2.905642,0.4087973,359.9826,357.8432,1.843295E-05,0,0,0,0
3.442085,0,-0.04314033,2.905642,0.4087974,359.9826,357.8432,1.644356E-05,0,0,0,0
3.555296,0,-0.04314035,2.905642,0.4087974,359.9826,357.8432,1.501571E-05,0,0,0,0
3.669542,0,-0.04314036,2.905642,0.4087974,359.9826,357.8432,1.545646E-05,0,0,0,0
3.783361,0,-0.04314031,2.905642,0.4087973,359.9826,357.8432,1.699488E-05,0,-16.53009,0,0
3.88448,0,-0.04317619,2.905617,0.4088067,359.9835,357.8416,359.9925,0.02,-116.0905,0.1,0
3.995472,0,-0.0432523,2.905642,0.4134722,359.9826,357.8258,1.492041E-05,0.1309931,-122.366,0.1,0
4.111286,0,-0.04350375,2.905642,0.4261473,359.9826,357.7903,1.608275E-05,0.2468078,-102.0024,0.1,0
4.213545,0,-0.04404873,2.905642,0.4434306,359.9826,357.7171,1.628926E-05,0.3490659,9.518312,0.1,0
4.321148,0,-0.04499238,2.905642,0.4720236,359.9826,357.5967,1.676511E-05,0.4889498,16.14075,0.13,0
4.428391,0,-0.04626191,2.905642,0.5104985,359.9826,357.4473,1.523252E-05,0.628365,16.29689,0.13,0
4.540073,0,-0.04832568,2.905642,0.5587887,359.9826,357.2156,1.581044E-05,0.7735526,81.46351,0.13,0
4.654428,0,-0.05125431,2.905642,0.6173502,359.9826,356.9118,1.640867E-05,0.9316504,85.71829,0.14,0
4.763332,0,-0.05501045,2.905642,0.6867403,359.9826,356.5638,1.629382E-05,1.084115,85.79849,0.14,0
4.868349,0,-0.05998103,2.905642,0.7668099,359.9826,356.1498,1.534635E-05,1.23114,129.4314,0.14,0
4.978306,0,-0.06647121,2.905642,0.8572071,359.9826,355.6599,1.546584E-05,1.385078,133.0172,0.14,0
5.086523,0,-0.07477753,2.905642,0.958124,359.9826,355.0933,1.616037E-05,1.536582,133.0984,0.14,0
5.193789,0,-0.08488883,2.905642,1.069466,359.9826,354.4927,1.441598E-05,1.686754,131.4589,0.14,0
5.302708,0,-0.09738948,2.905642,1.1914,359.9826,353.8241,1.518752E-05,1.848568,131.2065,0.15,0
5.416245,0,-0.1127087,2.905642,1.324483,359.9826,353.0881,1.608913E-05,2.018872,131.6031,0.15,0
5.51965,0,-0.1313166,2.905642,1.468939,359.9826,352.2858,1.7501E-05,2.192702,133.211,0.19,0
5.629206,0,-0.1539271,2.905642,1.626473,359.9826,351.4023,1.655771E-05,2.400856,133.2981,0.19,0
5.742176,0,-0.1815365,2.905643,1.798368,359.9826,350.4294,1.651487E-05,2.636323,133.568,0.32,0
5.851421,0,-0.2156934,2.905642,1.989893,359.9826,349.3591,1.65106E-05,2.985908,133.5992,0.32,0
5.961765,0,-0.2585469,2.905642,2.204669,359.9826,348.1332,1.531227E-05,3.339012,133.6553,0.32,0
6.071417,0,-0.3114808,2.905642,2.44269,359.9826,346.7845,1.70613E-05,3.70216,133.6986,0.34,0
6.180748,0,-0.3764582,2.905642,2.704393,359.9826,345.2965,1.506944E-05,4.073885,133.7,0.34,0
6.290867,0,-0.4554877,2.905643,2.989254,359.9826,343.656,1.551509E-05,4.448285,130.1007,0.34,0
6.402561,0,-0.550785,2.905789,3.29699,359.9607,341.8827,359.9779,4.834157,129.2218,0.35,0
6.513897,0,-0.6647241,2.905642,3.626724,359.9826,339.9254,1.645995E-05,5.223834,126.1909,0.35,0
6.62616,0,-0.7990833,2.905642,3.978292,359.9826,337.9294,1.769579E-05,5.616752,106.9436,0.35,0
6.74353,0,-0.9568554,2.905642,4.350214,359.9826,335.7847,1.622795E-05,6.027552,106.1136,0.35,0
6.859238,0,-1.141191,2.905642,4.741227,359.9826,333.4738,1.655354E-05,6.432528,94.09449,0.35,0
6.964043,0,-1.323171,2.905642,5.090187,359.9826,331.284,1.642264E-05,6.799347,93.41821,0.35,0
7.081156,0,-1.563982,2.905642,5.51285,359.9826,328.8349,1.564849E-05,7.209241,58.03384,0.35,0
7.182373,0,-1.796387,2.905642,5.886493,359.9826,326.6729,1.475011E-05,7.563501,54.80402,0.35,0
7.28451,0,-2.053967,2.905642,6.269321,359.9826,324.5403,1.516407E-05,7.92098,25.8371,0.35,0
7.385433,0,-2.337013,2.905642,6.660363,359.9826,322.4567,1.675281E-05,8.274213,16.74588,0.35,0
7.50174,0,-2.701503,2.905642,7.124133,359.9826,319.9748,1.559846E-05,8.681282,2.224403,0.35,0
7.616348,0,-3.101444,2.905642,7.595303,359.9826,317.7021,1.598575E-05,9.082417,-21.55055,0.35,0
7.727821,0,-3.538933,2.905649,8.070219,359.9826,315.3182,1.73627E-05,9.472571,-37.27175,0.35,0
7.840036,0,-4.012291,2.905649,8.549132,359.9826,313.1978,1.437658E-05,9.865324,-61.76397,0.35,0
7.94953,0,-4.523136,2.905649,9.028413,359.9826,310.9844,1.699335E-05,10.24855,-62.82441,0.35,0
8.056664,0,-5.071434,2.905649,9.505926,359.9826,308.8271,1.467549E-05,10.62352,-64.79339,0.35,0
8.1707,0,-5.659173,2.905649,9.977695,359.9826,306.5051,1.672613E-05,11.02264,-64.89803,0.35,0
8.279516,0,-6.286464,2.905663,10.44231,359.9826,304.2684,1.565808E-05,11.4035,-85.11285,0.35,0
8.387213,0,-6.953016,2.905729,10.89736,359.9826,302.0141,1.713133E-05,11.78044,-86.56406,0.35,0
8.494284,0,-7.657797,2.905793,11.34236,359.9826,299.9873,1.626089E-05,12.15519,-128.5763,0.35,0
8.597635,0,-8.399761,2.905796,11.7771,359.9826,297.9931,1.657522E-05,12.51692,-133.8377,0.35,0
8.707798,0,-9.178934,2.905796,12.19936,359.9826,296.0923,1.657272E-05,12.90249,-145.5457,0.35,0
8.814255,0,-9.995644,2.905796,12.60668,359.9826,294.0659,1.554718E-05,13.27509,-150.0548,0.35,0
8.929014,0,-10.85125,2.905796,12.99611,359.9826,291.9879,1.614833E-05,13.67674,-149.987,0.35,0
9.042469,0,-11.74583,2.905796,13.36467,359.9826,289.9081,1.620336E-05,14.07384,-149.9022,0.35,0
9.149918,0,-12.67862,2.905796,13.70921,359.9826,287.7261,1.658022E-05,14.44991,-156.3406,0.35,0
9.253902,0,-13.64837,2.905796,14.02923,359.9826,285.726,1.701628E-05,14.81385,-158.6208,0.35,0
9.366329,0,-14.65365,2.905796,14.32178,359.9826,283.6874,1.670778E-05,15.20735,-171.7249,0.35,0
9.475063,0,-15.69484,2.905796,14.58667,359.9826,281.7077,1.72489E-05,15.58791,-187.7152,0.35,0
9.587749,0,-16.77131,2.905796,14.8222,359.9826,279.7646,1.582483E-05,15.98232,-193.8816,0.35,0
9.698675,0,-17.88093,2.905796,15.03313,359.9826,278.2724,1.586068E-05,16.37056,-228.8016,0.35,0
9.814602,0,-19.02262,2.905796,15.21873,359.9826,276.712,1.542796E-05,16.7763,-242.2531,0.35,0
9.925364,0,-20.19523,2.905831,15.38863,359.9826,275.8454,1.740147E-05,17.16397,-290.2492,0.35,0
10.04149,0,-21.39814,2.905845,15.54474,359.9826,274.9873,1.608163E-05,17.57041,-292.2658,0.35,0
10.15259,0,-22.45423,2.905635,15.67055,0.01137991,274.5364,-0.003387725,17.95927,-327.228,0.35,0
10.25758,0,-23.53424,2.905845,15.79239,359.9826,274.165,1.600159E-05,18.32672,-329.5373,0.35,0
10.37704,0,-24.82189,2.905845,15.92857,359.9826,273.7294,1.669278E-05,18.74482,-328.2936,0.35,0
10.49331,0,-26.13946,2.905845,16.05729,359.9826,273.2648,1.659439E-05,19.1518,-327.9083,0.35,0
10.59755,0,-27.29251,2.905845,16.16148,359.9826,272.8937,1.52537E-05,19.51663,-332.7262,0.35,0
10.70922,0,-28.66517,2.905845,16.27737,359.9826,272.5359,1.725556E-05,19.90744,-335.5202,0.35,0
10.82338,0,-30.06629,2.905845,16.3871,359.9826,272.1918,1.673279E-05,20.30702,-337.6954,0.35,0
10.9383,0,-31.49598,2.905845,16.49119,359.9826,271.8802,1.70613E-05,20.70922,-339.2584,0.35,0
11.04005,0,-32.74436,2.905845,16.5756,359.9826,271.6022,1.618668E-05,21.06536,-339.0847,0.35,0
11.15513,0,-34.2278,2.905845,16.66764,359.9826,271.2526,1.694541E-05,21.46813,-338.0397,0.35,0
11.26967,0,-35.74008,2.905845,16.75219,359.9826,270.8983,1.64218E-05,21.86902,-337.9636,0.35,0
11.38682,0,-37.28098,2.905845,16.82874,359.9826,270.5372,1.655604E-05,22.27904,-337.9018,0.35,0
11.48692,0,-38.6249,2.905845,16.88743,359.9826,270.2157,1.590987E-05,22.6294,-337.5764,0.35,0
11.58719,0,-39.99027,2.905845,16.93881,359.9826,269.8579,1.632759E-05,22.99357,-335.8149,0.39,0
11.68809,0,-41.37883,2.905845,16.9823,359.9826,269.4928,1.577897E-05,23.38706,-335.7035,0.39,0
11.78862,0,-42.79118,2.905845,17.01813,359.9826,269.1714,1.648767E-05,23.77916,-339.6817,0.39,0
11.90368,0,-44.47946,2.905845,17.05142,359.9826,268.8189,1.617584E-05,24.58455,-340.3853,0.7,0
12.01754,0,-46.22397,2.905845,17.0762,359.9826,268.5414,1.659689E-05,25.3816,-346.7555,0.7,0
12.13146,0,-48.02447,2.905845,17.09469,359.9826,268.315,1.627923E-05,26.17904,-347.9731,0.7,0
12.24773,0,-49.88123,2.905845,17.10874,359.9826,268.2531,1.602243E-05,26.99293,-360.998,0.7,0
12.3602,0,-51.79566,2.905845,17.12522,359.9826,268.3214,1.669194E-05,27.81393,-363.3457,0.73,0
12.46994,0,-53.76717,2.905845,17.14713,359.9826,268.6125,1.509945E-05,28.61502,-382.9893,0.73,0
12.57796,0,-55.80047,2.905845,17.19063,359.9826,269.2634,1.646015E-05,29.64516,-392.0175,0.99,0
12.68727,0,-57.90786,2.905845,17.25979,359.9826,269.9167,1.592405E-05,30.72734,-389.4876,0.99,0
12.80203,0,-60.09073,2.905845,17.35516,359.9826,270.5413,1.58957E-05,31.8635,-388.328,0.99,0
12.9102,0,-62.34929,2.905845,17.47843,359.9826,271.1366,1.638678E-05,32.93439,-382.0808,0.99,0
13.01967,0,-64.68291,2.905845,17.62411,359.9826,271.5405,1.506944E-05,34.01813,-377.6425,0.99,0
13.12811,0,-67.0914,2.905844,17.79216,359.9826,271.9597,1.459503E-05,35.09167,-377.503,0.99,0
13.23921,0,-69.57455,2.905845,17.9774,359.9826,272.1082,1.652852E-05,36.18995,-364.8586,0.98,0
13.35605,0,-72.13428,2.905845,18.17296,359.9826,272.2144,1.51945E-05,37.33503,-361.9228,0.98,0
13.46514,0,-74.7711,2.905845,18.37124,359.9826,272.0195,1.571727E-05,38.37125,-353.4823,0.88,0
13.5822,0,-77.48102,2.905845,18.56581,359.9826,271.8257,1.455E-05,39.40133,-353.1062,0.88,0
13.70096,0,-80.26326,2.905845,18.75387,359.9826,271.5357,1.481431E-05,40.37629,-349.5227,0.52,0
13.81292,0,-83.10136,2.905845,18.9296,359.9826,271.2091,1.71405E-05,40.95848,-349.2068,0.52,0
13.92512,0,-85.98154,2.905845,19.09028,359.9826,270.8107,1.703879E-05,41.54193,-345.3932,0.52,0
14.03866,0,-88.89063,2.905845,19.22952,359.9826,270.3455,1.493854E-05,41.70088,-344.6175,0.14,0
14.14013,0,-91.81141,2.905845,19.34811,359.9826,270.0101,1.698542E-05,41.7179,-348.45,0,0
14.24376,0,-94.7086,2.905845,19.45065,359.9826,269.6846,1.540711E-05,41.01791,-349.1766,0,0
14.36207,0,-97.55733,2.905845,19.537,359.9826,269.4277,1.525037E-05,40.31792,-351.1154,0,0
14.47114,0,-100.3575,2.905845,19.60916,359.9826,269.1692,1.459169E-05,39.61793,-351.2956,0,0
14.58161,0,-103.109,2.905845,19.67461,359.9826,269.1898,1.627673E-05,38.91794,-361.3985,0,0
