TimeSinceStart,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ
0,0.06369895,3.209392,0.04614957,17.03557,23.38601,358.7516
0.1184616,0.05806383,3.220015,0.03817529,11.93059,22.12748,358.381
0.2240143,0.05757374,3.221663,0.03779164,11.12562,21.71044,358.1974
0.3316078,0.05685854,3.222986,0.03753672,10.35529,21.02436,357.9991
0.4405022,0.05378319,3.230091,0.03641387,6.856979,19.64252,357.6859
0.5477657,0.04583041,3.239172,0.03342164,1.630126,15.93055,357.2588
0.650671,0.03783494,3.244398,0.03082488,358.9293,12.52945,357.547
0.7541981,0.03080951,3.243768,0.02961801,359.709,9.807929,358.1808
0.8694839,0.02427469,3.246967,0.02932603,358.4214,8.163433,358.699
0.9705448,0.02077453,3.246356,0.02790331,358.9465,7.074171,359.332
1.072929,0.01710129,3.247094,0.02647685,358.87,5.335976,359.6855
1.18927,0.01322579,3.249977,0.02364949,357.2868,3.45663,359.9164
1.289904,0.01034453,3.252902,0.02064063,355.5893,2.215434,-0.00532634
1.40642,0.007926811,3.254495,0.01769144,354.5429,1.142817,0.0824289
1.518982,0.006134518,3.255549,0.01534482,354.0121,0.2784877,359.8528
1.622072,0.004716331,3.256203,0.01488549,353.7869,359.6629,359.7766
1.727875,0.004300429,3.256469,0.01472931,353.8433,359.1451,-0.0009680029
1.835861,0.004863547,3.255866,0.01496508,353.9667,358.6757,359.9395
1.945166,0.005069184,3.255146,0.01572118,354.4328,358.2414,359.8676
2.052322,0.004521787,3.253654,0.0164894,355.1905,356.997,0.1352585
2.160139,0.00166085,3.252037,0.01665039,355.9306,354.3987,0.6559356
2.268215,-0.003737777,3.250988,0.01686698,356.1038,349.9206,0.7437825
2.376596,-0.006811085,3.250601,0.01722709,356.1481,347.8917,1.198817
2.485048,-0.009925181,3.252207,0.01821339,355.6074,346.4517,1.646798
2.594257,-0.01093029,3.25177,0.02009286,355.5588,345.4755,1.840515
2.702225,-0.01022972,3.250994,0.02081931,356.2051,344.9877,1.041962
2.810711,-0.009638637,3.250502,0.02144508,356.0071,345.2673,0.1236996
2.920275,-0.009914421,3.250562,0.02336239,355.7234,345.8132,359.585
3.021837,-0.009480751,3.246765,0.02577737,357.1986,346.4242,359.0018
3.129343,-0.007208006,3.24623,0.02636679,358.2632,346.5529,358.4337
3.238321,-0.004038862,3.246147,0.02624892,358.3514,346.6608,357.6946
3.339455,-0.00204914,3.245214,0.02472435,358.6896,347.063,357.1542
3.442085,-0.0005231053,3.244607,0.02310682,359.0103,347.5737,356.7699
3.555296,-0.0007338896,3.245217,0.02261688,359.2927,348.3224,356.8027
