TimeSinceStart,IsLeftTracked,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,IsRightTracked,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ
0,1,-0.2016748,2.957348,0.4035074,329.7694,98.88927,139.3965,1,0.3465998,2.769057,0.3612785,16.56289,71.56155,17.74428
0.1184616,1,-0.2072996,2.955157,0.4116336,328.6575,99.73787,139.8503,1,0.350712,2.768382,0.3600782,17.11176,72.36049,17.39327
0.2240143,1,-0.2079732,2.954738,0.4132884,328.9597,99.56176,139.892,1,0.3517981,2.768549,0.3608831,17.05783,72.76008,17.65177
0.3316078,1,-0.2087425,2.953691,0.4143704,328.9459,99.7729,139.7695,1,0.3535592,2.768483,0.3604494,17.41521,72.99209,17.60659
0.4405022,1,-0.2086242,2.953502,0.4143792,328.9143,100.5817,139.1146,1,0.35562,2.770779,0.3595079,17.3433,72.88979,17.6341
0.5477657,1,-0.2118254,2.951061,0.4198228,328.7244,101.1576,138.7201,1,0.3572105,2.777577,0.3547274,16.48861,72.06149,17.2699
0.650671,1,-0.2129983,2.949409,0.4203437,328.4234,102.0396,138.0129,1,0.3586532,2.779089,0.3501956,16.56853,72.34362,16.65324
0.7541981,1,-0.2121705,2.95114,0.418855,328.3833,101.0982,139.0638,1,0.3591303,2.780853,0.3487229,16.79809,72.77217,16.66527
0.8694839,1,-0.2094094,2.956938,0.4097816,328.9241,100.1628,140.0485,1,0.3595009,2.782312,0.3460792,16.01476,72.36602,15.30424
0.9705448,1,-0.2085696,2.957623,0.4072576,328.9086,99.91871,140.1164,1,0.3604212,2.781548,0.3478591,15.32623,71.21866,13.93976
1.072929,1,-0.2098578,2.95385,0.4055978,328.9004,99.84383,139.928,1,0.3599362,2.781827,0.3481754,15.20402,70.89958,13.73404
1.18927,1,-0.214068,2.938169,0.3984143,328.5024,99.79549,139.4969,1,0.3589035,2.781452,0.3469813,15.59281,70.68838,12.60355
1.289904,1,-0.2163699,2.929193,0.3863117,321.6689,100.523,138.2517,1,0.3569659,2.780691,0.3431186,16.15982,71.06464,11.96156
1.40642,1,-0.2229914,2.90905,0.3781438,313.7102,107.2875,133.7793,1,0.3548174,2.783086,0.3381564,14.92301,71.32639,11.88599
1.518982,1,-0.2197014,2.88665,0.3702449,309.5727,114.0567,126.2023,1,0.3458445,2.786634,0.3272085,14.5712,71.16958,10.03385
1.622072,1,-0.2174208,2.871975,0.3658412,305.364,121.2625,119.1827,1,0.3445131,2.784523,0.3307154,14.47315,71.07795,9.402959
1.727875,1,-0.2149454,2.861111,0.3650389,301.1595,120.3322,119.2768,1,0.340756,2.785625,0.3334904,14.20363,71.72868,9.621901
1.835861,1,-0.2078981,2.84477,0.3614276,295.5648,126.1514,110.6424,1,0.3354491,2.788436,0.3320847,9.509359,73.12386,9.542194
1.945166,1,-0.2019263,2.82637,0.3496881,294.8634,129.3591,106.6458,1,0.3306063,2.788106,0.3313425,4.650206,73.99936,9.731099
2.052322,1,-0.1915521,2.807312,0.3399509,285.754,135.2775,99.66787,1,0.329428,2.786477,0.3307971,0.6568485,73.60606,8.959414
2.160139,1,-0.1502004,2.778017,0.3231235,278.5987,242.9648,346.8713,1,0.3278875,2.781747,0.3321331,0.5046614,74.01943,7.421381
2.268215,1,-0.08768473,2.731235,0.3082899,288.9162,285.6461,303.3764,1,0.3239854,2.776341,0.3394333,354.1501,75.70904,4.245683
2.376596,1,-0.03835233,2.723419,0.2790037,301.2733,307.9339,296.2471,1,0.3150181,2.776557,0.3524231,351.3348,78.71198,359.5898
2.485048,1,0.003461186,2.738226,0.2885462,308.8248,302.507,308.6422,1,0.2938786,2.792869,0.3638752,0.8748493,84.2149,349.05
2.594257,1,0.02783091,2.76605,0.2973366,312.5065,301.0468,311.3704,1,0.2446929,2.824693,0.3461797,6.489712,76.44015,302.5159
2.702225,1,0.01606996,2.775279,0.2986105,314.9554,313.2883,313.5717,1,0.1850923,2.856496,0.3247099,38.16922,52.40594,291.3087
2.810711,1,-0.02872724,2.774942,0.3107769,333.0502,332.9354,328.1091,1,0.1479738,2.871144,0.3347673,53.82626,80.02776,351.2365
2.920275,1,-0.1141606,2.768364,0.3199415,297.3377,17.08713,315.0902,1,0.140947,2.872756,0.3570215,47.52684,82.88439,344.2354
3.021837,1,-0.1407478,2.922704,0.2605901,293.3088,140.976,152.3742,1,0.1251289,2.893281,0.3717497,52.83405,82.29256,334.757
3.129343,1,-0.1450659,2.999095,0.2691316,320.0143,165.0874,123.9225,1,0.1332274,2.972259,0.3927937,37.96328,60.69876,319.4686
3.238321,1,-0.1172082,3.055488,0.2924538,329.1196,157.3262,125.16,1,0.06011286,3.07561,0.4342074,2.207141,67.74242,339.8532
3.339455,1,-0.1011884,3.070518,0.3181889,341.9969,157.8638,124.6889,1,0.001134905,3.073805,0.4360708,334.1197,54.49442,337.43
3.442085,1,-0.09404396,3.087672,0.3324679,355.0047,134.7203,126.0353,1,0.01914141,3.032201,0.4022239,348.4339,61.80668,327.0766
3.555296,1,-0.09148347,3.089707,0.3645588,358.1456,121.9139,133.0963,1,0.01594223,3.031533,0.4087143,26.76842,56.51,324.8055
3.669542,1,-0.09774928,3.068544,0.4259707,23.70401,111.6835,148.1436,1,0.01679321,3.059767,0.384377,17.83686,64.70469,336.3185
3.783361,1,-0.1427362,3.05265,0.4359797,3.477418,109.7018,162.1856,1,0.05730665,2.922656,0.3702386,45.61995,17.71163,309.9893
3.88448,1,-0.1881425,3.014764,0.4222462,359.6267,106.3624,139.7626,1,-0.1897405,2.727781,0.3113127,304.0698,334.5543,46.44373
3.995472,1,-0.2126982,2.969335,0.3976229,344.8729,102.0901,134.4884,1,0.04031837,2.829528,0.2830931,1.070069,16.66303,343.1577
4.111286,1,-0.2326364,2.917413,0.3781053,315.4341,104.6345,137.8772,1,0.132088,2.81643,0.3306357,347.5819,44.22872,305.9607
4.213545,1,-0.2350962,2.848948,0.3709705,303.7971,121.6772,119.2881,1,0.1859165,2.82872,0.3571197,14.52735,67.83863,290.9353
4.321148,1,-0.1941264,2.779314,0.3788051,283.4937,126.0955,106.9532,1,0.1726865,2.825676,0.3835635,57.94837,83.04494,315.7665
4.428391,1,-0.1210972,2.747232,0.383617,289.178,253.1294,343.8922,1,0.1431031,2.832106,0.4209685,57.01003,77.26493,344.719
4.540073,1,-0.09979605,2.737795,0.4248418,296.1565,265.9757,338.5742,1,0.09887838,2.887814,0.5319359,55.06959,62.6818,313.6172
4.654428,1,-0.1140509,2.759473,0.456276,300.7004,2.096858,272.003,1,0.1153249,2.91757,0.6020553,25.8966,64.9563,311.4838
4.763332,1,-0.1807317,2.806558,0.4869217,314.8383,112.7098,179.7617,1,0.1298967,2.921247,0.6816399,20.49929,65.9106,318.9609
4.868349,1,-0.2081426,2.848642,0.5965429,330.602,123.2849,116.5803,1,0.1295351,2.914108,0.758442,23.92538,63.33513,318.5236
4.978306,1,-0.2236363,2.933314,0.7539101,330.5399,111.2744,107.062,1,0.1196309,2.911792,0.8480532,24.43844,63.05836,318.4661
5.086523,1,-0.2462853,2.936578,0.9198147,330.0753,107.5833,122.0176,1,0.1108712,2.901989,0.951601,24.47503,62.02792,317.1451
5.193789,1,-0.2492627,2.915553,1.030993,317.1279,98.66705,139.1341,1,0.102485,2.89886,1.06146,25.27429,60.78558,316.5648
5.302708,1,-0.2598186,2.894849,1.12936,317.0602,101.6706,132.6039,1,0.08948806,2.902172,1.186999,25.34846,60.03656,316.4998
5.416245,1,-0.2794423,2.885185,1.252547,316.1842,106.0486,128.9886,1,0.07579976,2.912897,1.331658,23.99596,58.1894,316.8209
5.51965,1,-0.2953199,2.891979,1.395052,314.3583,106.2157,129.8841,1,0.05792488,2.910089,1.481055,23.62919,56.94051,317.2495
5.629206,1,-0.3168609,2.89134,1.548037,313.9817,106.3827,129.321,1,0.03411189,2.910034,1.639754,24.11627,55.88839,317.187
5.742176,1,-0.3419344,2.890195,1.716825,314.1631,105.3546,129.1223,1,0.006795228,2.909788,1.815104,23.40617,54.49744,316.7071
5.851421,1,-0.3743404,2.889933,1.905317,313.9927,104.5709,128.789,1,-0.02702759,2.909467,2.010848,23.36234,53.13871,316.6628
5.961765,1,-0.4155295,2.889849,2.116834,313.4775,103.9332,128.5842,1,-0.07089122,2.909674,2.228619,23.6126,52.13171,316.906
6.071417,1,-0.4663606,2.892062,2.351411,312.9225,102.3658,129.17,1,-0.1249812,2.907531,2.469998,23.81214,50.86344,316.7945
6.180748,1,-0.5320106,2.90841,2.612919,314.5981,97.53017,134.7166,1,-0.191322,2.895427,2.730448,27.78654,47.339,313.0282
6.290867,1,-0.6085151,2.955331,2.903967,326.6014,91.03707,142.3957,1,-0.2613575,2.851012,3.010647,33.85451,44.24096,310.2697
6.402561,1,-0.7123486,2.970833,3.235353,327.1535,95.9271,139.4072,1,-0.3526543,2.836493,3.316828,38.87723,43.80009,312.2583
6.513897,1,-0.8210014,2.98338,3.571867,330.0519,99.05775,136.8804,1,-0.4599886,2.847198,3.655559,45.26701,39.19875,317.6426
6.62616,1,-0.9520992,3.004537,3.939451,331.7721,91.92754,142.3125,1,-0.5803533,2.85396,4.020762,42.41431,37.19229,319.434
6.74353,1,-1.087855,3.029032,4.313175,344.7389,84.94976,150.252,1,-0.7311485,2.875316,4.400519,39.44133,34.69511,310.6531
6.859238,1,-1.206461,3.071272,4.743248,2.212415,78.70581,151.0622,1,-0.9152933,2.915721,4.808232,34.22282,27.4027,300.5238
6.964043,1,-1.33182,3.072806,5.123756,10.96393,78.47675,152.9508,1,-1.100485,2.980643,5.156809,36.28634,26.03635,303.0585
7.081156,1,-1.532649,3.041939,5.574045,28.84892,81.1327,152.2125,1,-1.351413,3.021471,5.574545,28.61161,18.40438,295.7162
7.182373,1,-1.74341,3.004562,5.94629,30.78012,77.66154,146.9469,1,-1.591126,3.043603,5.944345,26.53365,14.71341,295.0883
7.28451,1,-1.998426,2.966952,6.345788,32.00795,80.61207,144.6571,1,-1.861237,3.047154,6.336802,16.47286,11.59816,296.7871
7.385433,1,-2.265473,2.932286,6.728265,37.77726,94.10706,150.1603,1,-2.175194,3.053459,6.732563,10.79434,7.411236,300.4525
7.50174,1,-2.611421,2.894827,7.172915,55.8712,117.482,176.3919,1,-2.587471,3.056197,7.195631,1.643112,12.20098,322.5159
7.616348,1,-3.015205,2.85771,7.619155,68.20669,173.2309,237.5657,1,-3.012973,3.043461,7.673798,1.150222,13.57807,333.3852
7.727821,1,-3.461147,2.827744,8.098774,62.50928,137.7957,203.9283,1,-3.445021,3.039941,8.157315,359.6611,23.08652,330.75
7.840036,1,-3.937919,2.857619,8.56974,23.53262,124.4861,189.6732,1,-3.906351,3.033325,8.636822,359.3048,15.25008,322.6854
7.94953,1,-4.445521,2.936044,8.974913,2.741742,120.8601,166.5218,1,-4.409405,3.031586,9.110964,2.562603,13.02768,320.7164
8.056664,1,-5.027811,2.980708,9.412774,13.94053,93.80383,153.8717,1,-4.935796,3.010339,9.589243,11.58838,11.85959,313.089
8.1707,1,-5.691291,2.989287,9.864669,12.14219,69.92936,122.2786,1,-5.48967,2.9834,10.06711,31.89038,14.75582,323.5053
8.279516,1,-6.36032,2.987445,10.3096,354.2394,50.47599,113.4101,1,-6.092242,2.920289,10.53063,41.72619,7.192922,313.7877
8.387213,1,-7.019322,2.989397,10.75778,329.7608,17.77706,141.1172,1,-6.774316,2.81365,10.98301,63.49052,16.04824,317.7408
8.494284,1,-7.711368,3.010942,11.21147,328.196,23.55359,182.3343,1,-7.488312,2.791564,11.44034,62.3775,19.9762,332.838
8.597635,1,-8.463499,2.995145,11.67235,331.9377,31.39211,147.1633,1,-8.241956,2.830479,11.9025,71.57013,5.230396,322.9081
8.707798,1,-9.243463,2.99401,12.08208,330.8147,34.50389,148.0921,1,-9.032269,2.864318,12.36443,57.91438,347.5266,298.175
8.814255,1,-10.05742,2.996547,12.48396,330.8891,32.34581,152.1086,1,-9.853552,2.909178,12.78628,53.05146,352.3344,301.7142
8.929014,1,-10.90715,2.998946,12.8737,331.7783,29.94437,152.8531,1,-10.71438,2.932397,13.18323,52.31247,350.3012,306.4305
9.042469,1,-11.79818,3.00599,13.25772,340.5192,24.04639,150.353,1,-11.62068,2.934175,13.56028,52.08698,347.6202,306.3154
9.149918,1,-12.7337,3.026775,13.61975,350.2226,24.40804,151.4236,1,-12.55902,2.935568,13.90934,50.31279,345.9289,305.9417
9.253902,1,-13.71081,3.051056,13.96955,3.606858,33.28288,157.5551,1,-13.53041,2.939088,14.2332,50.00767,344.8297,306.0925
9.366329,1,-14.70051,3.058891,14.31022,17.09362,35.81533,155.4527,1,-14.53878,2.948646,14.52971,49.76692,341.1817,302.1748
9.475063,1,-15.72219,3.032372,14.64007,36.77792,36.92405,151.2577,1,-15.59197,2.972198,14.78683,44.10241,329.0353,288.5175
9.587749,1,-16.75602,2.990561,14.92073,70.37659,45.47523,173.6989,1,-16.68172,3.00666,15.00279,38.63705,327.1269,289.9244
9.698675,1,-17.85795,2.927754,15.14867,48.29695,54.54839,162.8619,1,-17.80956,3.024878,15.18939,18.89884,322.4679,292.8457
9.814602,1,-18.99751,2.854501,15.31805,60.62532,125.0349,237.4327,1,-18.98406,3.031115,15.36199,8.798499,332.6709,314.9209
9.925364,1,-20.13642,2.867167,15.44738,46.49129,146.3631,251.9447,1,-20.18818,3.023453,15.53733,16.5156,333.8929,330.8756
10.04149,1,-21.3281,2.840724,15.55879,26.12058,93.22417,210.6448,1,-21.4149,2.98587,15.72242,22.08998,336.2037,332.1774
10.15259,1,-22.35778,2.870958,15.62153,5.005008,75.27091,166.8101,1,-22.46867,2.959898,15.85562,21.10128,328.2312,311.2065
10.25758,1,-23.48526,2.915084,15.69006,19.89433,54.31826,126.0328,1,-23.54242,2.971519,15.96946,22.87705,329.8791,317.1705
10.37704,1,-24.80008,2.966318,15.78302,354.8369,40.34698,112.9042,1,-24.82728,2.973035,16.10361,23.17043,330.2458,318.0929
10.49331,1,-26.12896,2.980932,15.8934,345.3382,17.39293,121.9956,1,-26.13293,2.96385,16.2349,26.96118,331.3566,317.6882
10.59755,1,-27.2748,2.982618,15.99848,341.3933,15.24259,134.7436,1,-27.27718,2.948354,16.34462,30.66176,330.4986,315.8334
