ID;PosX;PosZ
Bateria 1;-3,8;-35
Bateria 2;-0,04999995;-75
Bateria 3;-4,8;-105
Bateria 4;-44,55;-108
Bateria 5;-80,05;-108
Bateria 6;-120,05;-108
Bateria 7;-164,3;-111,5
Bateria 8;-174,55;-74
Bateria 9;0,2;25
Bateria 10;-3,8;55
Bateria 11;-3,8;85
Bateria 12;7,95;115
Bateria 13;37,95;120
Bateria 14;67,95;120
Bateria 15;92,45;133,25
Bateria 16;93,7;163,25
Bateria 17;93,7;193,25
Bateria 18;73,7;213,25
Bateria 19;43,7;213,25
Bateria 20;13,7;209,75
Bateria 21;-23,7;205
Bateria 22;-53,7;198,25
Bateria 23;-83,7;182
Bateria 24;-113,7;170,25
Bateria 25;-143,7;169,75
Bateria 26;-173,7;178,75
Bateria 27;-200,45;196,25
Bateria 28;-230,45;213
Bateria 29;-266,7;208
Bateria 30;-276,7;178
Bateria 31;-280,7;148
Bateria 32;-276,95;118
Bateria 33;-280,95;88
Bateria 34;-280,95;88
Bateria 35;-282,7;48
Bateria 36;-278,7;18
Bateria 37;-238,7;17
Bateria 38;-198,7;17
Bateria 39;0,2;25
Bateria 40;0,2;-5
